State,12+
Total U.S.,51.94
Northeast,57.31
Midwest,54.43
South,48.43
West,51.03
Alabama,43.21
Alaska,54.46
Arizona,50.85
Arkansas,40.35
California,49.60
Colorado,59.20
Connecticut,61.74
Delaware,52.55
District of Columbia,63.94
Florida,51.88
Georgia,46.71
Hawaii,50.86
Idaho,48.97
Illinois,55.40
Indiana,51.17
Iowa,56.46
Kansas,50.74
Kentucky,44.51
Louisiana,49.62
Maine,54.04
Maryland,58.19
Massachusetts,63.54
Michigan,53.74
Minnesota,58.57
Mississippi,41.17
Missouri,50.89
Montana,60.20
Nebraska,53.74
Nevada,52.82
New Hampshire,62.89
New Jersey,56.36
New Mexico,46.89
New York,55.49
North Carolina,47.56
North Dakota,59.12
Ohio,52.41
Oklahoma,46.22
Oregon,59.08
Pennsylvania,55.47
Rhode Island,63.35
South Carolina,50.32
South Dakota,57.29
Tennessee,39.15
Texas,48.19
Utah,29.61
Vermont,58.57
Virginia,55.13
Washington,55.70
West Virginia,37.53
Wisconsin,60.96
Wyoming,53.24
