City,MLB,NBA,NFL + AFL + AAFC,NHL,
New York City,35,2,9,8,
Boston,9,17,4,6,
Chicago,5,6,11,5,
Detroit,4,3,4,11,
Los Angeles,6,11,2,2,
Philadelphia,7,3,4,2,
Pittsburgh,5,0,6,3,
St. Louis,11,1,1,0,
Green Bay,0,0,13,0,
Cleveland,2,0,10,0,
Baltimore,3,1,5,0,
San Francisco,3,0,5,0,
Dallas,0,1,6,1,
Oakland,4,1,2,0,
Washington D.C.,1,1,5,0,
Miami,2,3,2,0,
Minneapolis-Saint Paul,2,5,0,0,
San Antonio,0,5,0,0,
Cincinnati,5,0,0,0,
Denver,0,0,2,2,
Houston,0,2,2,0,
Newark,0,0,0,3,
Anaheim,1,0,0,1,
Tampa,0,0,1,1,
Kansas City,1,0,1,0,
Buffalo,0,0,2,0,
Canton,0,0,2,0,
Seattle,0,1,1,0,
Milwaukee,1,1,0,0,
Phoenix,1,0,0,0,
San Diego,0,0,1,0,
Atlanta,1,0,0,0,
Indianapolis,0,0,1,0,
New Orleans,0,0,1,0,
Raleigh,0,0,0,1,
Rochester,0,1,0,0,
Syracuse,0,1,0,0,
Akron,0,0,1,0,
Portland,0,1,0,0,
Providence,0,0,1,0,
